省份,城市,数据量
上海,上海,321848
云南,大理,1974
云南,昆明,26862
云南,西双版纳,99
内蒙古,包头,16448
内蒙古,呼和浩特,22933
内蒙古,赤峰,10426
内蒙古,通辽,649
北京,北京,618612
吉林,吉林,10354
吉林,长春,38415
四川,凉山,5280
四川,南充,9531
四川,宜宾,3441
四川,广元,2265
四川,德阳,4425
四川,成都,324407
四川,攀枝花,1849
四川,绵阳,17969
四川,达州,3934
四川,遂宁,7430
四川,雅安,765
宁夏,银川,42630
安徽,合肥,119324
安徽,安庆,12003
安徽,芜湖,28375
安徽,阜阳,3294
安徽,马鞍山,21840
山东,临沂,14988
山东,威海,5711
山东,泰安,2864
山东,济南,62919
山东,济宁,8486
山东,淄博,9172
山东,潍坊,15370
山东,烟台,39007
山东,青岛,93599
山西,晋中,1020
山西,运城,2347
广东,东莞,30947
广东,中山,28999
广东,佛山,52887
广东,广州,144435
广东,江门,2526
广东,深圳,132962
广东,清远,5476
广东,湛江,3422
广东,珠海,15729
广西,北海,11097
广西,南宁,9442
广西,柳州,8881
广西,桂林,7611
广西,防城港,1961
新疆,乌鲁木齐,9614
江苏,南京,160537
江苏,南通,42680
江苏,常州,11297
江苏,徐州,28476
江苏,无锡,37978
江苏,昆山,40108
江苏,淮安,16060
江苏,盐城,11331
江苏,苏州,159669
江苏,镇江,16183
江西,上饶,9849
江西,九江,10343
江西,南昌,26865
江西,吉安,8143
江西,赣州,8155
河北,保定,2929
河北,唐山,16286
河北,廊坊,46736
河北,张家口,7200
河北,承德,644
河北,石家庄,52384
河北,邯郸,5978
河南,平顶山,2531
河南,新乡,8672
河南,洛阳,17874
河南,濮阳,1983
河南,许昌,8923
河南,郑州,107886
河南,驻马店,6269
浙江,台州,4909
浙江,嘉兴,27627
浙江,宁波,60829
浙江,杭州,152234
浙江,温州,13319
浙江,湖州,8181
浙江,绍兴,17264
浙江,衢州,2878
浙江,金华,2617
海南,三亚,422
海南,海口,8151
海南,澄迈,573
湖北,宜昌,8547
湖北,武汉,180654
湖北,襄阳,11869
湖北,黄石,5435
湖南,岳阳,3209
湖南,常德,6295
湖南,株洲,10965
湖南,湘西,1098
湖南,衡阳,1563
湖南,长沙,66022
甘肃,兰州,17148
甘肃,天水,292
福建,厦门,30922
福建,泉州,16804
福建,漳州,16769
福建,福州,15681
贵州,贵阳,33900
辽宁,丹东,5676
辽宁,大连,167304
辽宁,沈阳,104371
重庆,重庆,190145
陕西,咸阳,14543
陕西,宝鸡,6711
陕西,汉中,8943
陕西,西安,148551
黑龙江,哈尔滨,32969
